names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
RL6157	Tc/V860	RL6157	30S	30.00	1.00	30.00	50S	50.00	1.00	50.00	50 MSS	50.00	0.87	43.50	50S	50.00	1.00	50.00	70S	70.00	1.00	70.00	3+	3+	3+	8	5	6.5
RL6153	Tc/V624	RL6153	70S	70.00	1.00	70.00	50S	50.00	1.00	50.00	70 S	70.00	1.00	70.00	50S	50.00	1.00	50.00	70S	70.00	1.00	70.00	3+	3+	3+	8	5	6.5
RL6151	; gene	RL6151	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR80S	28.00	0.47	13.07	TR	2.00	0.20	0.40	;22+	3+	;2	8	12	10
RL6103	Lr13+?	RL6103	20S	20.00	1.00	20.00	10MSS	10.00	0.87	8.70	40 MRMS	40.00	0.53	21.20	40MRMS	40.00	0.53	21.20	40MRMS	40.00	0.53	21.20	3+	;2	4	8	4	6
RL6070	Lr34+LrT3	RL6070	20MS	20.00	0.80	16.00	5MSS	5.00	0.87	4.35	30 MS	30.00	0.80	24.00	40MS	40.00	0.80	32.00	40MRMS	40.00	0.53	21.20	3+	3+	3+	8	4	6
TC*2/WGRC10_9	Tc*2Lr39/41	9	70S	70.00	1.00	70.00	40S	40.00	1.00	40.00	70 S	70.00	1.00	70.00	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	0;	3+	3+;	8	12	10
TC*2/WGRC10_6	Tc*2Lr39/41	6	60S	60.00	1.00	60.00	30S	30.00	1.00	30.00	70 S	70.00	1.00	70.00	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	0;	3+	3+;	8	4	6
TC*2/WGRC10_7	Tc*2Lr39/41	7	50S	50.00	1.00	50.00	40S	40.00	1.00	40.00	70 S	70.00	1.00	70.00	70S	70.00	1.00	70.00	50S	50.00	1.00	50.00	0;	3+	3+;	8	7	7.5
TC*2/WGRC11_2-1-1	Tc*2/Lr42	2-1-1	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	2+	;1	;22+	8	13	10.5
TC*2/WGRC11_2-1-2	Tc*2/Lr42	2-1-2	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	22+	;	;22+	12	17	14.5
TC*2/WGRC11_4-2-3	Tc*2/Lr42	4-2-3	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	TR	2.00	0.20	0.40	10RMR	10.00	0.27	2.70	2+	;	;2+	6	4	5
